"2001:470:4:40::","2001:470:4:40:ffff:ffff:ffff:ffff","US"
"2001:470:4:41::","2001:470:4:41:ffff:ffff:ffff:ffff","GT"
"2001:470:4:42::","2001:470:4:42:ffff:ffff:ffff:ffff","US"
"2001:470:4:43::","2001:470:4:43:ffff:ffff:ffff:ffff","PL"
"2001:470:4:44::","2001:470:4:44:ffff:ffff:ffff:ffff","PE"
"2001:470:4:45::","2001:470:4:45:ffff:ffff:ffff:ffff","US"
"2001:470:4:46::","2001:470:4:46:ffff:ffff:ffff:ffff","CR"
"2001:470:4:47::","2001:470:4:47:ffff:ffff:ffff:ffff","CO"
"2001:470:4:48::","2001:470:4:49:ffff:ffff:ffff:ffff","US"
"2001:470:4:4a::","2001:470:4:4a:ffff:ffff:ffff:ffff","UY"
"2001:470:4:4b::","2001:470:4:51:ffff:ffff:ffff:ffff","US"
"2001:470:4:52::","2001:470:4:52:ffff:ffff:ffff:ffff","UY"
"2001:470:4:53::","2001:470:4:53:ffff:ffff:ffff:ffff","BR"
"2001:470:4:54::","2001:470:4:54:ffff:ffff:ffff:ffff","US"
"2001:470:4:55::","2001:470:4:55:ffff:ffff:ffff:ffff","EC"
"2001:470:4:56::","2001:470:4:56:ffff:ffff:ffff:ffff","CN"
"2001:470:4:57::","2001:470:4:57:ffff:ffff:ffff:ffff","EC"
"2001:470:4:58::","2001:470:4:5f:ffff:ffff:ffff:ffff","US"
"2001:470:4:60::","2001:470:4:60:ffff:ffff:ffff:ffff","CL"
"2001:470:4:61::","2001:470:4:62:ffff:ffff:ffff:ffff","US"
"2001:470:4:63::","2001:470:4:63:ffff:ffff:ffff:ffff","BZ"
"2001:470:4:64::","2001:470:4:64:ffff:ffff:ffff:ffff","US"
"2001:470:4:65::","2001:470:4:65:ffff:ffff:ffff:ffff","AR"
"2001:470:4:66::","2001:470:4:66:ffff:ffff:ffff:ffff","US"
"2001:470:4:67::","2001:470:4:67:ffff:ffff:ffff:ffff","UY"
"2001:470:4:68::","2001:470:4:6b:ffff:ffff:ffff:ffff","US"
"2001:470:4:6c::","2001:470:4:6c:ffff:ffff:ffff:ffff","AR"
"2001:470:4:6d::","2001:470:4:6e:ffff:ffff:ffff:ffff","US"
"2001:470:4:6f::","2001:470:4:6f:ffff:ffff:ffff:ffff","MQ"
"2001:470:4:70::","2001:470:4:78:ffff:ffff:ffff:ffff","US"
"2001:470:4:79::","2001:470:4:79:ffff:ffff:ffff:ffff","BR"
"2001:470:4:7a::","2001:470:4:7a:ffff:ffff:ffff:ffff","IT"
"2001:470:4:7b::","2001:470:4:7e:ffff:ffff:ffff:ffff","US"
"2001:470:4:7f::","2001:470:4:7f:ffff:ffff:ffff:ffff","IT"
"2001:470:4:80::","2001:470:4:80:ffff:ffff:ffff:ffff","US"
